Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,6,0.61,0.01,0.474609127515032
75% Corpus,6,0.61,0.31,0.47629348617115425
75% Corpus,6,0.61,0.61,0.49549282174036735
75% Corpus,6,0.61,0.9099999999999999,0.47854476041569427
75% Corpus,6,0.61,symmetric,0.4974971665112122
75% Corpus,6,0.9099999999999999,0.01,0.4954229926256359
75% Corpus,6,0.9099999999999999,0.31,0.5015174821068703
75% Corpus,6,0.9099999999999999,0.61,0.49049833890804656
75% Corpus,6,0.9099999999999999,0.9099999999999999,0.4698575110770455
75% Corpus,6,0.9099999999999999,symmetric,0.4859927811782489
75% Corpus,6,symmetric,0.01,0.4943933428123511
75% Corpus,6,symmetric,0.31,0.4893307879928424
75% Corpus,6,symmetric,0.61,0.4748495287817716
75% Corpus,6,symmetric,0.9099999999999999,0.47628614061948765
75% Corpus,6,symmetric,symmetric,0.5075391500414449
75% Corpus,6,asymmetric,0.01,0.5017804664216335
75% Corpus,6,asymmetric,0.31,0.43485294403863944
75% Corpus,6,asymmetric,0.61,0.47529853934441113
75% Corpus,6,asymmetric,0.9099999999999999,0.4554408813911326
75% Corpus,6,asymmetric,symmetric,0.49402509794652283
75% Corpus,7,0.01,0.01,0.47004755077071775
75% Corpus,7,0.01,0.31,0.46898462020949283
75% Corpus,7,0.01,0.61,0.46644239864841186
75% Corpus,7,0.01,0.9099999999999999,0.5066133757713339
75% Corpus,7,0.01,symmetric,0.4700931954909927
75% Corpus,7,0.31,0.01,0.46503392890582324
75% Corpus,7,0.31,0.31,0.4662329691919145
75% Corpus,7,0.31,0.61,0.49933378920819377
75% Corpus,7,0.31,0.9099999999999999,0.4780077650014921
75% Corpus,7,0.31,symmetric,0.45809224827659767
75% Corpus,7,0.61,0.01,0.47390063079587075
75% Corpus,7,0.61,0.31,0.47142590682393387
75% Corpus,7,0.61,0.61,0.46482625515211573
75% Corpus,7,0.61,0.9099999999999999,0.4760783313789495
75% Corpus,7,0.61,symmetric,0.44977512611345954
75% Corpus,7,0.9099999999999999,0.01,0.45570919720852926
75% Corpus,7,0.9099999999999999,0.31,0.44842417994952105
75% Corpus,7,0.9099999999999999,0.61,0.4711066383147507
75% Corpus,7,0.9099999999999999,0.9099999999999999,0.4820883753445907
75% Corpus,7,0.9099999999999999,symmetric,0.4886656400424448
75% Corpus,7,symmetric,0.01,0.5060526388076344
75% Corpus,7,symmetric,0.31,0.46190439903233166
75% Corpus,7,symmetric,0.61,0.46354409796406637
75% Corpus,7,symmetric,0.9099999999999999,0.4744193809327872
